문장,대분류,중분류,소분류
자빠지는,부정,,
자빠지는 모양,부정,,
자빠지다,부정,,
자상하게,긍정,,
자상하다,긍정,,
자세하고 정확하게,긍정,,
자세히,긍정,,
자세히 살피다,긍정,,
자세히 살핌,긍정,,
자송,부정,,
자송하다,부정,,
자신 있게,긍정,,
자신감,긍정,,
자신에게 해가,부정,,
자신을 옭아 묶다,부정,,
자신을 옭아 묶음,부정,,
자신을 책망하다,부정,,
자신을 책망함,부정,,
자신의 결함이나,부정,,
자신의 이익만을,부정,,
자신의 재능을,긍정,,
자신하다,긍정,,
자애로,긍정,,
자애를,긍정,,
자애를 베푸는,긍정,,
자연 그대로,긍정,,
자연스럽게,긍정,,
자연스럽게 보이다,긍정,,
자연스럽다,긍정,,
자연스럽지 못하게,부정,,
자연스럽지 아니하게,부정,,
자연스럽지 아니하다,부정,,
자연스럽지 않다,부정,,
자연의 아름다운,긍정,,
자유가 제한되거나,부정,,
자유로운,긍정,,
자유로운 상태가,긍정,,
자유롭게,긍정,,
자유롭게 함,긍정,,
자유를 침해함으로써,부정,,
자제력을 잃다,부정,,
자제력을 잃어,부정,,
자주 사용되다,긍정,,
자주 앓다,부정,,
자주 하다,긍정,,
자증을 내며,부정,,
자지 못하는,부정,,
자지러지게,긍정,,
자지러지도록,부정,,
자지러지도록 꼴로,부정,,
자지러질,부정,,
자질,긍정,,
자질구레한,부정,,
자질구레한 것까지,부정,,
자질을 겸손하게,긍정,,
자책,부정,,
자책하다,부정,,
자폐하다,부정,,
자포자기,부정,,
자포자기하다,부정,,
자포하다,부정,,
자해,부정,,
자해하다,부정,,
작고 귀여운,긍정,,
작붕,부정,,
작품이 사랑받고,긍정,,
잔꾀로,부정,,
잔뜩 벼르다,부정,,
잔부끄러움,부정,,
잔소리,부정,,
잔소리나,부정,,
잔소리나 푸념을,부정,,
잔소리를,부정,,
잔소리를 하거나,부정,,
잔인하다,부정,,
잔인한,부정,,
잔인한 모양,부정,,
잔인한 사람을,부정,,
잔인한 형벌에,부정,,
잗달고,부정,,
잘,긍정,,
잘 가다듬어,긍정,,
잘 간직하여,긍정,,
잘 다듬어져,긍정,,
잘 다스려,긍정,,
잘 다스리는,긍정,,
잘 다스림,긍정,,
잘 다투는,부정,,
잘 다투다,부정,,
잘 대우하다,긍정,,
잘 대우하여,긍정,,
잘 들다,긍정,,
잘 떠벌리다,부정,,
잘 먹거나,긍정,,
잘 먹거나 마시다,긍정,,
잘 먹다,긍정,,
잘 먹음으로써,긍정,,
잘 모르거나,부정,,
잘 몰라서,부정,,
잘 못하거나,부정,,
잘 받아,긍정,,
잘 보살펴,긍정,,
잘 사귀는,긍정,,
잘 살려,긍정,,
잘 살핌,긍정,,
잘 싸우다,긍정,,
잘 싸움,긍정,,
잘 아는,긍정,,
잘 안될까,부정,,
잘 알다,긍정,,
잘 알아,긍정,,
잘 알아서,긍정,,
잘 어울려,긍정,,
잘 어울리는,긍정,,
잘 어울리다,긍정,,
잘 어울리어,긍정,,
잘 어울림,긍정,,
잘 여문,긍정,,
잘 여물다,긍정,,
잘 이끌어,긍정,,
잘 익거나,긍정,,
잘 익다,긍정,,
잘 있는,긍정,,
잘 자라게,긍정,,
잘 정돈되어,긍정,,
잘 조화되어,긍정,,
잘 지내거나,긍정,,
잘 지켜,긍정,,
잘 진행되다,긍정,,
잘 진행되어,긍정,,
잘 짓는,긍정,,
잘 처리되다,긍정,,
잘 처리하다,긍정,,
잘 팔리다,긍정,,
잘 해낼,긍정,,
잘난 체,부정,,
잘난 체하거나,부정,,
잘난 체하고,부정,,
잘난 체하는,부정,,
잘난 체하다,부정,,
잘난 체하며,부정,,
잘난 체하여,부정,,
잘되고,긍정,,
잘되다,긍정,,
잘되어,긍정,,
잘되어 가게,긍정,,
잘되어 가는,긍정,,
잘되어 가다,긍정,,
잘되지 못하도록,부정,,
잘되지 아니하고,부정,,
잘된,긍정,,
잘된 것을,긍정,,
잘된 작품,긍정,,
잘될,긍정,,
잘될 가능성이,긍정,,
잘됨,긍정,,
잘망스럽게,부정,,
잘먹다,긍정,,
잘못,부정,,
잘못 기입함,부정,,
잘못 생각하다,부정,,
잘못 써서,부정,,
잘못 판단하거나,부정,,
잘못되기를 바라면서,부정,,
잘못되는,부정,,
잘못되는 것을,부정,,
잘못되어,부정,,
잘못되었거나,부정,,
잘못되었을,부정,,
잘못되었을 때도,부정,,
잘못되지 아니하도록,긍정,,
잘못된,부정,,
잘못된 것을,부정,,
잘못된 것이 없이,긍정,,
잘못된 견해,부정,,
잘못된 대답을,부정,,
잘못된 염탐,부정,,
잘못된 일이,부정,,
잘못된 허물을,부정,,
잘못에,부정,,
잘못에 대하여,부정,,
잘못을,부정,,
잘못을 고쳐,긍정,,
잘못을 깨치고,중립,,
잘못을 꾸짖거나,부정,,
잘못을 꾸짖다,부정,,
잘못을 꾸짖음,부정,,
잘못을 뉘우치고,긍정,,
잘못을 용서함,긍정,,
잘못을 인정하고,긍정,,
잘못을 저지른,부정,,
잘못을 지적받거나,부정,,
잘못이,부정,,
잘못이 생겨나게,부정,,
잘못이나,부정,,
잘못이나 결함을,부정,,
잘못하거나,부정,,
잘못하다,부정,,
잘못하다가는 꼴로,부정,,
잘못하면 꼴로,부정,,
잘못하여,부정,,
잘못함,부정,,
잘빠진,긍정,,
잘생겨,긍정,,
잘생겨 보기에,긍정,,
잘생기다,긍정,,
잘생긴,긍정,,
잘아지고,부정,,
잘하는,긍정,,
잘하는 것이,긍정,,
잘하는 능력이,긍정,,
잘하다,긍정,,
잘하지 못하는,부정,,
잘하지 못하여,부정,,
잘한,긍정,,
잘한 일을,긍정,,
잘해,긍정,,
잘해 나가다,긍정,,
잘해 내는,긍정,,
잘해 내지 못하는,부정,,
잡념을 없애고,긍정,,
잡되고,부정,,
잡되고 상스럽다,부정,,
잡스러운,부정,,
잡스러운 느낌이,부정,,
잡스럽게,부정,,
잡스럽게 굴다,부정,,
잡스럽다,부정,,
잡아 뜯거나,부정,,
잡지 못하게,부정,,
잡지 못하는 상태로,부정,,
잡지 못하다,부정,,
장난삼아,부정,,
장난삼아 하는,부정,,
장난스럽게,부정,,
장난이 심하고,부정,,
장애,부정,,
장애가,부정,,
장애가 따르고,부정,,
장애가 있어,부정,,
장애로,부정,,
장애를,부정,,
장애를 만나,부정,,
장애를 받거나,부정,,
장애를 받아,부정,,
장애물을,부정,,
장애물을 헤치다,긍정,,
장애인,부정,,
장엄한,긍정,,
장엄한 상,긍정,,
장점,긍정,,
장점을,긍정,,
장점을 인정하거나,긍정,,
장점을 취하여,긍정,,
장점이다,긍정,,
장하다,긍정,,
장학금,긍정,,
재난,부정,,
재난을,부정,,
재난을 이르는,부정,,
재능,긍정,,
재능을,긍정,,
재능을 가진,긍정,,
재능을 겸손하게,긍정,,
재능을 알고,긍정,,
재능이라는,긍정,,
재능이라는 뜻으로,긍정,,
재물에 인색한,부정,,
재물을 가로채서,부정,,
재물을 탐내어,부정,,
재물을 탐하는,부정,,
재물이 넉넉하거나,긍정,,
재미,긍정,,
재미가,긍정,,
재미가 없게,부정,,
재미가 없다,부정,,
재미가 있어,긍정,,
재미를 붙여,긍정,,
재미없다,부정,,
재미있게,긍정,,
재미있는,긍정,,
재미있는 국면,긍정,,
재미있는 말을,긍정,,
재미있는 일을,긍정,,
재미있다,긍정,,
재밌는,긍정,,
재발하거나,부정,,
재산 범죄,부정,,
재산이 넉넉하다,긍정,,
재수 없게,부정,,
재앙,부정,,
재앙이,부정,,
재앙이나,부정,,
재주,긍정,,
재주가 뛰어나고,긍정,,
재주가 뛰어나다,긍정,,
재주가 뛰어난,긍정,,
재주가 뛰어남,긍정,,
재주가 무디다,부정,,
재주가 있고,긍정,,
재주를,긍정,,
재주를 가진,긍정,,
재주와 지혜가,긍정,,
재질이 뛰어나고,긍정,,
재촉하다,부정,,
재촉하여,부정,,
재촉하여 몰아대다,부정,,
재치,긍정,,
재치 있고,긍정,,
재치가 있고,긍정,,
재치가 있다,긍정,,
재치있다,긍정,,
재해를 소멸시키다,긍정,,
재해를 입은,부정,,
재해와,부정,,
재해와 돌림병을,부정,,
잴뚝대다,부정,,
저급,부정,,
저급하다,부정,,
저급한,부정,,
저는,부정,,
저는 모양,부정,,
저렴하다,긍정,,
저리거나,부정,,
저리거나 아픈,부정,,
저리고,부정,,
저리다,부정,,
저린,부정,,
저린 느낌,부정,,
저린 느낌이,부정,,
저린 듯하다,부정,,
저린 듯한,부정,,
저릿한,부정,,
저릿한 느낌,부정,,
저버리다,부정,,
저절로 무너짐,부정,,
저주,부정,,
저주의,부정,,
저주의 뜻으로,부정,,
저주하는,부정,,
저주하는 말,부정,,
저주하는 말을,부정,,
저주하여,부정,,
저지른,부정,,
저지른 일,부정,,
저지른 잘못에,부정,,
저지른 죄과나,부정,,
저질러진 범죄,부정,,
저품질,부정,,
저하되다,부정,,
저하시키다,부정,,
적극,긍정,,
적극 찾아서,긍정,,
적극적으로,긍정,,
적극적으로 다가가,긍정,,
적극적이다,부정,,
적극적인,긍정,,
적극적인 마음,긍정,,
적당하게,긍정,,
적당하게 맞추어,긍정,,
적당하다,긍정,,
적당하지 아니하게,부정,,
적당한,긍정,,
적당히 좋아하는,긍정,,
적대적으로,부정,,
적대적으로 대하다,부정,,
적수를 미워하다,부정,,
적용하기에 어려운,부정,,
적의 앞잡이,부정,,
적절치 아니하다,부정,,
적절하게,긍정,,
적절하게 이어져,긍정,,
적절하게 처리하는,긍정,,
적절한,긍정,,
적절한 예,긍정,,
적절히,긍정,,
적합하다,긍정,,
적합하도록,긍정,,
적합하도록 만들어지다,긍정,,
적확한,긍정,,
적확한 견해,긍정,,
전문가,긍정,,
전문적 지식,긍정,,
전부 게워,부정,,
전성,긍정,,
전염되는 병,부정,,
전염병,부정,,
전전긍긍,부정,,
전전긍긍하다,부정,,
전혀 모르거나,부정,,
전혀 없는,부정,,
절개가 굳은,긍정,,
절거나,부정,,
절다,부정,,
절도질,부정,,
절망,부정,,
절망스럽다,부정,,
절망에,부정,,
절망에 빠져,부정,,
절망으로,부정,,
절망적이다,부정,,
절망하다,부정,,
절며,부정,,
절며 걷는,부정,,
절며 걷다,부정,,
절면서,부정,,
절면서 걷는,부정,,
절면서 걷다,부정,,
절박하다,부정,,
절실하게,중립,,
절실하다,중립,,
절절매다,부정,,
절친,긍정,,
젊고,긍정,,
젊고 건강하여,긍정,,
젊다,긍정,,
젊은,긍정,,
점잖게,긍정,,
점잖고,긍정,,
점잖고 엄숙하게,긍정,,
점잖다,긍정,,
점잖은,긍정,,
점잖은 사람,긍정,,
점잖이,긍정,,
점잖이 아니하게,부정,,
점잖지 못하거나,부정,,
점잖지 못하게,부정,,
점잖지 못하고,부정,,
점잖지 못한,부정,,
점잖지 아니하게,부정,,
점잖지 아니하여,부정,,
점잖지 않다,부정,,
점점 긴장되다,부정,,
접대하다,긍정,,
접대함,긍정,,
정,긍정,,
정결히,긍정,,
정겹고,긍정,,
정겹고 고분고분하게,긍정,,
정겹고 고분고분하다,긍정,,
정겹다,긍정,,
정교하고,긍정,,
정교하고 아름답다,긍정,,
정교한,긍정,,
정기가 없이,부정,,
정다운,긍정,,
정다운 맛이 없고,부정,,
정다운 이야기,긍정,,
정답게,긍정,,
정답게 안는,긍정,,
정답게 웃는,긍정,,
정답게 웃다,긍정,,
정답게 이르거나,긍정,,
정답게 이르는,긍정,,
정답게 이야기하거나,긍정,,
정답게 자꾸,긍정,,
정답게 주고받다,긍정,,
정답게 지내는,긍정,,
정답게 지저귀다,긍정,,
정답게 지저귐,긍정,,
정답게 흘러가는,긍정,,
정답고,긍정,,
정답고 귀엽게,긍정,,
정답고 포근하게,긍정,,
정답고 환하게,긍정,,
정답다,긍정,,
정답지 않고,부정,,
정당하게,긍정,,
정당하지 못한,부정,,
정당하지 않은,부정,,
정당한,긍정,,
정당한 길,긍정,,
정당한 도리,긍정,,
정도가 높다,긍정,,
정도가 심하거나,부정,,
정도가 심하게,부정,,
정도가 지나쳐서,부정,,
정도가 지나친,부정,,
정도에 넘침,부정,,
정돈되어,긍정,,
정돈되어 말끔하게,긍정,,
정돈되어 말끔하다,긍정,,
정돈되어 시원스럽게,긍정,,
정돈되지 아니하여,부정,,
정돈이 되지 아니하여,부정,,
정돈하다,긍정,,
정밀하고,긍정,,
정밀하고 미세함,긍정,,
정밀하지 못하고,부정,,
정밀한,긍정,,
정분이,긍정,,
정분이 나서,긍정,,
정분이 두텁게,긍정,,
정분이 두텁다,긍정,,
정상,긍정,,
정상을 벗어난,부정,,
정성껏,긍정,,
정성스럽다,긍정,,
정성스레,긍정,,
정성스레 대하거나,긍정,,
정성으로,긍정,,
정성을,긍정,,
정성을 겸손하게,긍정,,
정성을 기울이다,긍정,,
정성을 나타내다,긍정,,
정성을 다하여,긍정,,
정성을 다함,긍정,,
정성을 들인,긍정,,
정성이,긍정,,
정성이 미치는,긍정,,
정성이나,긍정,,
정성이나 노력,긍정,,
정성이나 성의가,긍정,,
정신 분열병,부정,,
정신 분열병과,부정,,
정신 질환,부정,,
정신병,부정,,
정신병 환자,부정,,
정신없다,부정,,
정신없이,부정,,
정신을 못 차리고,부정,,
정신을 어지럽게,부정,,
정신을 잃고,부정,,
정신을 잃는,부정,,
정신을 잃는다,부정,,
정신을 잃을,부정,,
정신을 차리지 못하고,부정,,
정신의 이상이나,부정,,
정신이 까무러질,부정,,
정신이 나가거나,부정,,
정신이 나간 것처럼,부정,,
정신이 멀쩡하다,긍정,,
정신이 멍하고,부정,,
정신이 아득하고,부정,,
정신이 아찔하여,부정,,
정신이 어리벙벙하여,부정,,
정신이 어지럽게,부정,,
정신이 어지럽다,부정,,
정신이 어지럽도록,부정,,
정신이 얼떨떨하여,부정,,
정신이 없고,부정,,
정신이 혼미해지고,부정,,
정신이 흐려서,부정,,
정신이 흐려져,부정,,
정신이 흐려지고,부정,,
정신이 흐려진다,부정,,
정신이 흐리고,부정,,
정신이 흐릿하여,부정,,
정신적 고통이,부정,,
정신적으로 보탬이,긍정,,
정신적으로 편안하고,긍정,,
정신질환,부정,,
정연하게,긍정,,
정열,긍정,,
정을 끊고,부정,,
정을 통하다,긍정,,
정의롭다,긍정,,
정의를,긍정,,
정의를 위한,긍정,,
정이 깊게,긍정,,
정이 넘칠,긍정,,
정이 두텁고,긍정,,
정이 두텁다,긍정,,
정이 들어,긍정,,
정이 많게,긍정,,
정이 맺어지다,긍정,,
정이 맺어짐,긍정,,
정이 버성기어,부정,,
정이 없고,부정,,
정이 없이,부정,,
정정당당하다,긍정,,
정정당당한,긍정,,
정정당당한 태도로,긍정,,
정조가 굳고,긍정,,
정조를 빼앗겨,부정,,
정조를 지키지 아니하다,부정,,
정중하게,긍정,,
정중하다,긍정,,
정중한,긍정,,
정중한 부탁이나,긍정,,
정중히,긍정,,
정직하지 못한,부정,,
정처 없이,부정,,
정치를 잘하다,긍정,,
정하다,긍정,,
정함이 없이,부정,,
정해지지 못하고,부정,,
정확하게,긍정,,
정확하고,긍정,,
정확한,긍정,,
제 마음대로,부정,,
제 분수를 잊어버리고,부정,,
제격에 맞지 않고,부정,,
제대로,긍정,,
제대로 되지 않아,부정,,
제대로 이루어지다,긍정,,
제대로 하지 못하고,부정,,
제대로 하지 아니하는,부정,,
제대로 하지 아니하다,부정,,
제때에,긍정,,
제때에 내리는,긍정,,
제맛이 나지 아니하고,부정,,
제맛이 나지 않고,부정,,
제멋대로,부정,,
제멋대로 날아가다,부정,,
제멋대로 내버려지다,부정,,
제멋대로 움직이거나,부정,,
제법 예쁜,긍정,,
제일 잘하다,긍정,,
제정신을 잃고,부정,,
제정신을 차리지 못하게,부정,,
제쳐 놓고,부정,,
제한되거나,부정,,
제한적,부정,,
제한적인,부정,,
제힘에 겨운,부정,,
제힘에 겨운 일에,부정,,
져서,부정,,
조건에 맞아,긍정,,
조건에 어울리게,긍정,,
조건을 개선하고,긍정,,
조걸위악하다,부정,,
조금 거만스럽게,부정,,
조금 거북하다,부정,,
조금 거추장스러워서,부정,,
조금 거추장스럽게,부정,,
조금 괴롭게,부정,,
조금 굼뜨고,부정,,
조금 까다롭게,부정,,
조금 까불며,부정,,
조금 깨끗하고,긍정,,
조금 나빠진,부정,,
조금 다침,부정,,
조금 답답할,부정,,
조금 되바라지게,부정,,
조금 떠들썩하게,부정,,
조금 머뭇거리거나,부정,,
조금 머뭇머뭇하거나,부정,,
조금 멋없게,부정,,
조금 멋없이,부정,,
조금 모자란,부정,,
조금 못마땅하게,부정,,
조금 밉살스럽고,부정,,
조금 방해가,부정,,
조금 비뚤어져,부정,,
조금 설레는,긍정,,
조금 성가실,부정,,
조금 소란스럽게,부정,,
조금 수선스럽게,부정,,
조금 수선스럽다,부정,,
조금 시들하다,부정,,
조금 시원스럽게,긍정,,
조금 싫증이,부정,,
조금 쓴,부정,,
조금 아둔하고,부정,,
조금 안타깝게,부정,,
조금 암상스럽게,부정,,
조금 약빠르고,부정,,
조금 어지러운,부정,,
조금 어지럽게,부정,,
조금 언짢거나,부정,,
조금 언짢고,부정,,
조금 염치없이,부정,,
조금 요란하게,부정,,
조금 우그러져,부정,,
조금 우악스럽게,부정,,
조금 우직하고,부정,,
조금 위태롭게,부정,,
조금 자린,부정,,
조금 짖궂은,부정,,
조금 천박하게,부정,,
조금 치사하고,부정,,
조금 타분하다,부정,,
조금 투덜거리는,부정,,
조금 투덜거리다,부정,,
조금 틀어진,부정,,
조금 푸근하게,긍정,,
조금 훤하게,긍정,,
조금 희미해져서,부정,,
조금 힘없이,부정,,
조금만 앓아도,부정,,
조금씩 쓰리며,부정,,
조급하게,부정,,
조급하게 구는,부정,,
조급하게 볶아치는,부정,,
조급하게 볶아치다,부정,,
조급하여,부정,,
조급한,부정,,
조급한 마음으로,부정,,
조급해지고,부정,,
조롱하거나,부정,,
조롱하다,부정,,
조롱할 때,부정,,
조르거나,부정,,
조르는,부정,,
조르는 데가,부정,,
조르는 모양,부정,,
조리 없는,부정,,
조리 없이,부정,,
조리 있게,긍정,,
조리가 있고,긍정,,
조리에 맞지 아니하는,부정,,
조마조마하게,부정,,
조마조마하게 지내다,부정,,
조마조마하다,부정,,
조마조마하여,부정,,
조마조마한,부정,,
조마조마한 느낌,부정,,
조마조마한 모양,부정,,
조마조마함,부정,,
조바심,부정,,
조바심이,부정,,
조바심이 나거나,부정,,
조바심이 나다,부정,,
조바심이 나서,부정,,
조바심하며,부정,,
조바심하며 자는,부정,,
조바심하며 자다,부정,,
조상을 욕되게,부정,,
조심성 없이,부정,,
조심성이 없고,부정,,
조심스러움,긍정,,
조심스럽게,긍정,,
조심스럽지 못하고,부정,,
조심스럽지 아니하고,부정,,
조심스럽지 않은,부정,,
조심하다,부정,,
조심함,부정,,
조여들다,부정,,
조용하며 찬찬하다,긍정,,
조용하며 찬찬한,긍정,,
조용한 느낌이,긍정,,
조용히 우는,부정,,
조잡하다,부정,,
조잡한,부정,,
조직의 괴사가,부정,,
조직이 썩는,부정,,
조직이나 기구 따위가 무너지거나 흔들리지 아니하는 상태로,긍정,,
조촐하지 못하여,부정,,
조화,긍정,,
조화되어,긍정,,
조화된,긍정,,
조화된 자세를,긍정,,
조화로운,긍정,,
조화로움,긍정,,
조화롭고,긍정,,
조화롭고 포괄적인,긍정,,
조화롭다,긍정,,
조화를,긍정,,
조화를 이루다,긍정,,
조화를 이루도록,긍정,,
조화시키고,긍정,,
조화시키고 창조하는,긍정,,
족치는,부정,,
족치는 일,부정,,
존경,긍정,,
존경받는,긍정,,
존경받는 벗,긍정,,
존경받다,긍정,,
존경스럽거나,긍정,,
존경스럽거나 사랑스러운,긍정,,
존경의,긍정,,
존경의 뜻을,긍정,,
존경하는,긍정,,
존경하는 마음으로,긍정,,
존경하는 사람,긍정,,
존경하다,긍정,,
존경할 만한,긍정,,
존귀하고,긍정,,
존귀한,긍정,,
존귀한 사람이라는,긍정,,
존귀한 성과,긍정,,
존대를,긍정,,
존망,부정,,
존멸,부정,,
존멸하다,부정,,
존못,부정,,
존속하다,중립,,
존예,긍정,,
존잘,긍정,,
존중,긍정,,
존중하다,긍정,,
존중할 만하다,긍정,,
졸도,부정,,
졸아들고,부정,,
졸이는 마음,부정,,
졸임,부정,,
좀 거친,부정,,
좀 고까워하는,부정,,
좀 괴이쩍게,부정,,
좀 답답하거나,부정,,
좀 뚝뚝하고,부정,,
좀 막히는,부정,,
좀 막히다,부정,,
좀 보드랍고,긍정,,
좀 볼품없이,부정,,
좀 부드럽고,긍정,,
좀 불평스럽게,부정,,
좀 성기게,부정,,
좀 안타깝거나,부정,,
좀 어색하고,부정,,
좀 천박하게,부정,,
좀 천하다,부정,,
좀도둑,부정,,
좀스러워,부정,,
좀스럽게,부정,,
좀스럽게 계속,부정,,
좀스럽게 구는,부정,,
좀스럽게 굴다,부정,,
좀스럽게 꼬물거리는,부정,,
좀스럽게 꾸물거리다,부정,,
좀스럽게 눈치를,부정,,
좀스럽게 말하다,부정,,
좀스럽게 못된,부정,,
좀스럽게 부산을,부정,,
좀스럽게 생긴,부정,,
좀스럽게 움직이는,부정,,
좀스럽게 움직이다,부정,,
좀스럽게 자꾸,부정,,
좀스럽게 지껄이는,부정,,
좀스럽게 짓궃은,부정,,
좀스럽게 짖궂은,부정,,
좀스럽게 충동질을,부정,,
좀스럽게 하다,부정,,
좀스럽게 혼잣말로,부정,,
좀스럽고,부정,,
좀스럽고 까다롭다,부정,,
좀스럽고 비굴하게,부정,,
좀스럽다,부정,,
좀이 생긴,부정,,
좁고 옹졸한,부정,,
좁은 소견으로,부정,,
종기가,부정,,
종기가 나는,부정,,
종말,부정,,
종알거리거나,부정,,
종알종알 군소리를,부정,,
종이 되다,부정,,
종횡무진,중립,,
좆같다,부정,,
좆같이,부정,,
좆다,부정,,
좆심,부정,,
좇다,중립,,
좋거나,긍정,,
좋거나 아름답다고,긍정,,
좋거나 훌륭하다,긍정,,
좋게,긍정,,
좋게 고치기,긍정,,
좋게 고치다,긍정,,
좋게 꼴로,긍정,,
좋게 나서서,긍정,,
좋게 나아가다,긍정,,
좋게 되다,긍정,,
좋게 만들다,긍정,,
좋게 만들어지다,긍정,,
좋게 발전할,긍정,,
좋게 생각하여,긍정,,
좋게 여기는,긍정,,
좋게 여기다,긍정,,
좋게 여김,긍정,,
좋게 탐스러운,긍정,,
좋게 탐스럽다,긍정,,
좋게 퍼져서,긍정,,
좋게 평가하여,긍정,,
좋게 하다,긍정,,
좋고,긍정,,
좋고 굉장하게,긍정,,
좋고 옳은,긍정,,
좋다,긍정,,
좋다고,긍정,,
좋다고 판단하여,긍정,,
좋도록 주선하는,긍정,,
좋도록 주선하다,긍정,,
좋아,긍정,,
좋아 보이거나,긍정,,
좋아서,긍정,,
좋아서 탐스러운,긍정,,
좋아지내다,긍정,,
좋아지다,긍정,,
좋아하거나,긍정,,
좋아하거나 즐기다,긍정,,
좋아하고,긍정,,
좋아하는,긍정,,
좋아하는 것,긍정,,
좋아하는 기운,긍정,,
좋아하는 대상,긍정,,
좋아하는 마음,긍정,,
좋아하는 마음이,긍정,,
좋아하다,긍정,,
좋아하여,긍정,,
좋아하여 애착을,긍정,,
좋아함,긍정,,
좋아해,긍정,,
좋으면,긍정,,
좋은,긍정,,
좋은 결과나,긍정,,
좋은 경치,긍정,,
좋은 경치를,긍정,,
좋은 곳,긍정,,
좋은 곳을,긍정,,
좋은 과보,긍정,,
좋은 기회나,긍정,,
좋은 기회를,긍정,,
좋은 길로,긍정,,
좋은 내용을,긍정,,
좋은 냄새와,긍정,,
좋은 느낌,긍정,,
좋은 느낌을,긍정,,
좋은 대책과,긍정,,
좋은 대책을,긍정,,
좋은 데가,긍정,,
좋은 말글,긍정,,
좋은 맛,긍정,,
좋은 반응이,긍정,,
좋은 복장,긍정,,
좋은 사람,긍정,,
좋은 산과,긍정,,
좋은 상태로,긍정,,
좋은 생각이,긍정,,
좋은 석탄을,긍정,,
좋은 성과를,긍정,,
좋은 시절,긍정,,
좋은 옷을,긍정,,
좋은 운수,긍정,,
좋은 운수를,긍정,,
좋은 유전,긍정,,
좋은 음식,긍정,,
좋은 음식을,긍정,,
좋은 일,긍정,,
좋은 일을,긍정,,
좋은 일이,긍정,,
좋은 점이나,긍정,,
좋은 특성,긍정,,
좋은 풍채,긍정,,
좋은 풍채를,긍정,,
좋은 향기가,긍정,,
좋은 황금을,긍정,,
좋은가봉가,긍정,,
좋은일하기운동,긍정,,
좋을,긍정,,
좋을 정도라서,긍정,,
좋을 정도로,긍정,,
좋음,긍정,,
좋음을,긍정,,
좋음을 이르는,긍정,,
좋지 못하여,부정,,
좋지 못한,부정,,
좋지 못한 상황에,부정,,
좋지 아니하거나,부정,,
좋지 아니하게,부정,,
좋지 아니하다,부정,,
좋지 아니한,부정,,
좋지 않거나,부정,,
좋지 않게,부정,,
좋지 않다,부정,,
좋지 않아서,부정,,
좋지 않은,부정,,
좌빨,부정,,
좌욕,부정,,
좌절,부정,,
좌절하다,부정,,
좌좀,부정,,
죄,부정,,
죄 있는,부정,,
죄가,부정,,
죄가 될,부정,,
죄가 없음을,긍정,,
죄가 있는,부정,,
죄과나 잘못에,부정,,
죄를,부정,,
죄를 고백하고,긍정,,
죄를 다시,부정,,
죄를 도리어,부정,,
죄를 저지르다,부정,,
죄를 저지름,부정,,
죄를 주던,부정,,
죄를 지어,부정,,
죄를 지은,부정,,
죄를 짓거나,부정,,
죄범,부정,,
죄송히,부정,,
죄수,부정,,
죄스러울,부정,,
죄스러울 정도로,부정,,
죄스럽다,부정,,
죄악 망상,부정,,
죄악감,부정,,
죄악관영,부정,,
죄악관영하다,부정,,
죄악만을,부정,,
죄악만을 남긴,부정,,
죄악만을 남긴 악정,부정,,
죄악사,부정,,
죄악상,부정,,
죄악스럽다,부정,,
죄악스레,부정,,
죄악시,부정,,
죄악시되다,부정,,
죄악시하다,부정,,
죄악에,부정,,
죄악에 차,부정,,
죄악으로,부정,,
죄악으로 가득,부정,,
죄악으로 가득 차,부정,,
죄악으로 보거나,부정,,
죄악으로 여겨지다,부정,,
죄악을,부정,,
죄악을 지어,부정,,
죄악이,부정,,
죄악이 되는,부정,,
죄악이라고,부정,,
죄악이라고 느끼는,부정,,
죄어 오그라들다,부정,,
죄어들거나,부정,,
죄어들다,부정,,
죄어서,부정,,
죄어서 몰아치다,부정,,
죄어치다,부정,,
죄업,부정,,
죄업 망상,부정,,
죄에,부정,,
죄에 빠지게,부정,,
죄의 앙갚음으로,부정,,
죄의식,부정,,
죄이거나,부정,,
죄이거나 타들어,부정,,
죄인의,부정,,
죄인의 머리를,부정,,
죄인이,부정,,
죄인임을 반성하고,긍정,,
죄지은,부정,,
죄지은 듯하여,부정,,
주견이 없이,부정,,
주눅 들게,부정,,
주눅이 들다,부정,,
주로 잘못하다가는,부정,,
주로 잘못하면,부정,,
주름이 쭈글쭈글,부정,,
주무르기 좋게,긍정,,
주색에 빠져,부정,,
주의하게,부정,,
주의하게 함,부정,,
주의하지 아니하고,부정,,
주작,부정,,
주저앉거나,부정,,
주저앉거나 자빠지는,부정,,
주저앉다,부정,,
주저주저하거나,부정,,
주저주저하는,부정,,
주저주저하는 모양,부정,,
주저주저하다,부정,,
주저하는,부정,,
주저하는 모양,부정,,
주저하다,부정,,
주저하며 머뭇거리다,부정,,
주제넘게,부정,,
주제넘고,부정,,
주제넘고 건방지다,부정,,
주제넘다,부정,,
주책없는,부정,,
주책없는 짓이나,부정,,
주책없다,부정,,
주책없이,부정,,
주책없이 능청맞고,부정,,
주책없이 달랑거리며,부정,,
주체스럽게,부정,,
주춤,부정,,
주춤거리다,부정,,
주춤대다,부정,,
주춤병,부정,,
주춤주춤,부정,,
죽게,부정,,
죽게 된다,부정,,
죽게 될,부정,,
죽게 하다,부정,,
